hostname,fixation_ratio,sample_size
affarsvarlden.se,7.453410041407867,high
aftonbladet.se,14.272984900806568,high
aikhockey.se,7.14285,low
aktivtraning.se,6.081102027027027,high
alingsastidning.se,0.0,medium
allabolag.se,14.404700700313935,high
allas.se,37.99726049382716,high
allatvkanaler.se,0.0,medium
allehanda.se,8.60655942622951,high
allergimat.com,0.0,low
alltforforaldrar.se,23.2490141536965,high
anandtech.com,40.0,low
androidcentral.com,4.761904761904762,medium
appletoolbox.com,1.0204081632653061,medium
arbetarbladet.se,12.834219786096257,high
arstechnica.com,0.0,medium
autocar.co.uk,0.0,low
autopower.se,11.904757142857143,medium
autouncle.se,15.104168749999998,high
avanza.se,10.8176844083291,high
baby.dk,0.0,low
babyhjalp.se,16.4556835443038,medium
bandypuls.se,0.0,medium
barnakuten.nu,0.0,medium
barometern.se,5.624995,high
bensinpriser.nu,1.754385463659148,high
bikeperfect.com,0.0,medium
bild.de,0.0,medium
biluppgifter.se,23.4432326007326,high
blocket.se,4.317624073760953,high
blogg.se,2.7027027027027026,medium
bloomberg.com,9.763755748031496,high
blt.se,25.087097909407664,high
bohuslaningen.se,7.27274,medium
bokat.se,2.185766120218579,high
bokforingstips.se,40.37559530516432,high
boneo.se,21.705436434108528,high
breakit.se,9.722223611111112,high
brollopstorget.se,11.594220289855071,high
bt.se,8.364141776605102,high
budgetyourtrip.com,0.0,low
buffert.se,0.0,low
businessinsider.com,7.339473394495413,high
byggahus.se,17.35299328464955,high
bytbil.com,24.985368753657113,high
cafe.se,14.598545255474454,high
carbuzz.com,0.0,medium
cgmagonline.com,0.0,low
cheapflights.com,0.0,low
chipsochchokladbloggen.se,0.0,low
cinemablend.com,0.0,low
cnbc.com,6.060642424242424,medium
computerbase.de,0.0,medium
corren.se,10.000011414141415,high
cuponline.se,0.0,low
dagensjuridik.se,8.974358547008546,high
dagensopinion.se,10.38961038961039,medium
dagensps.se,8.940830261348005,high
dagligvarunytt.se,25.0,low
dalademokraten.se,16.511611162790697,high
devote.se,12.765963829787236,medium
dezeen.com,15.789473684210526,low
di.se,7.201091502503806,high
dict.cc,0.0,medium
difhockey.se,29.16665,medium
digitalfotoforalla.se,0.0,low
dinareklamblad.se,0.8954889552238805,high
dir.bg,4.166673611111111,high
disboard.org,0.0,medium
djurbibeln.se,20.930255813953487,medium
dn.no,14.285714285714286,low
dn.se,10.371979918663529,high
doodle.com,4.988800595681311,high
ebay.co.uk,9.562372933549431,high
ebay.com,6.249041465607673,high
ebay.de,0.0,medium
economist.com,20.689634482758617,medium
ehandel.se,27.93295251396648,high
ekuriren.se,0.0,low
elevspel.se,14.01272399150743,high
eliteprospects.com,4.967604319654427,high
elitserien.se,0.0,low
elle.se,28.003334217067103,high
eniro.se,14.317498219584568,high
eposten.se,0.0,low
esquire.com,0.0,low
europeantour.com,0.0,low
expertreviews.co.uk,1.4705823529411763,medium
express.co.uk,5.272756,high
expressen.se,5.395829708058934,high
falkopingstidning.se,4.800716032608696,high
familjeliv.se,10.703123359375,high
fandom.com,5.555555555555555,low
feber.se,23.08759644095216,high
femina.se,26.60945364806867,high
femmeactuelle.fr,0.0,low
filipstadstidning.se,0.0,medium
filmtopp.se,17.53553933649289,high
flightconnections.com,0.0,low
fokus.se,9.090909090909092,low
folkbladet.nu,0.0,medium
folkbladet.se,11.11111111111111,low
foretagande.se,10.945269154228855,high
formula1.com,39.42856857142857,high
fotbollskanalen.se,5.207436452031114,high
fotbollsthlm.se,0.0,low
fotbolltransfers.com,9.565218260869566,high
fotosidan.se,0.0,medium
fragbite.se,21.383652201257863,high
freeride.se,5.1194578498293515,high
futhead.com,0.0,low
gaffa.se,0.0,low
gamefromscratch.com,0.0,low
gamepretty.com,2.3077046153846155,high
gamesradar.com,2.4691524691358024,high
gbgfotboll.se,7.692335897435898,medium
gd.se,10.576926923076922,high
geoguessr.com,0.8718330427201395,high
getdroidtips.com,0.0,high
getyarn.io,0.0,low
goal.com,6.896544827586206,medium
goalcast.com,0.0,low
google.com,20.45607306947436,high
goonhammer.com,0.0,low
gp.se,14.216210786727634,high
gq.com,17.2414,medium
gravid.se,0.0,low
guitarworld.com,0.0,low
gulesider.no,3.6199104072398187,high
hallandsposten.se,2.7397246575342464,medium
handbollskanalen.se,0.0,low
hant.se,29.33009535304768,high
happyride.se,7.1199990589488635,high
harpersbazaar.com,0.0,low
hd.se,4.312314830279688,high
helagotland.se,2.8571371428571433,high
hemnet.se,39.235022469614954,high
hemtrevligt.se,15.078802399435427,high
hifisentralen.no,0.0,low
hifitorget.se,0.25773195876288657,high
hikersbay.com,0.0,medium
hitta.se,13.49796522146812,high
hn.se,12.76595744680851,medium
hockeyallsvenskan.se,2.380956349206349,high
hockeynews.se,20.51281111111111,high
hockeysverige.se,2.3923473684210523,high
homeq.se,8.347783130434783,high
howrse.se,0.5882,high
ht.se,18.638924882272523,high
huaweicentral.com,0.0,low
idg.se,11.424360089020771,high
ign.com,0.9839214824532635,high
imore.com,3.2467493506493508,high
inews.co.uk,3.125,medium
