hostname,fixation_ratio,sample_size
affarsvarlden.se,5.057457471264368,high
aftonbladet.se,14.890190412426355,high
aikhockey.se,7.14285,low
allabolag.se,13.172259132906895,high
allas.se,48.97957602040816,high
allehanda.se,0.0,medium
allergimat.com,0.0,low
alltforforaldrar.se,22.71064175824176,high
arbetarbladet.se,12.121212121212121,medium
autopower.se,0.0,low
autouncle.se,21.904744761904762,high
avanza.se,15.652164637681159,high
babyhjalp.se,27.659574468085108,medium
barometern.se,6.52175652173913,medium
biluppgifter.se,39.0624890625,high
blocket.se,4.915753335081165,high
blogg.se,0.0,low
blt.se,40.19606862745098,high
bohuslaningen.se,7.6923076923076925,low
bokat.se,4.347810144927536,high
bokforingstips.se,46.788968807339444,high
boneo.se,14.10257435897436,medium
breakit.se,8.264468595041322,high
brollopstorget.se,2.7777777777777777,medium
bt.se,7.232927130852341,high
businessinsider.com,11.904728571428572,medium
bytbil.com,29.28041811414392,high
corren.se,9.459463783783782,high
dagensps.se,5.726863436123348,high
dalademokraten.se,9.638560843373494,high
di.se,7.176200764274605,high
dinareklamblad.se,6.521771739130434,medium
djurbibeln.se,12.903232258064518,medium
dn.se,11.288318866325696,high
ehandel.se,33.72095813953488,medium
elevspel.se,8.63311654676259,high
eliteprospects.com,3.508771929824561,medium
elle.se,34.18080875706215,high
eniro.se,19.706485953878406,high
express.co.uk,8.888890555555555,high
expressen.se,6.092201597423141,high
falkopingstidning.se,8.045936015325669,high
familjeliv.se,14.015142045454546,high
femina.se,22.72726590909091,medium
filipstadstidning.se,0.0,medium
filmtopp.se,7.281559223300972,high
fokus.se,0.0,low
folkbladet.nu,0.0,medium
folkbladet.se,20.0,low
foretagande.se,12.068965517241379,medium
fotbollskanalen.se,11.4695311827957,high
freeride.se,7.407411111111112,medium
gbgfotboll.se,12.5,low
gd.se,31.57894736842105,low
gp.se,15.379222261235956,high
gravid.se,0.0,low
hallandsposten.se,3.846151923076923,medium
hant.se,34.63855301204819,high
hd.se,3.977943875541552,high
helagotland.se,3.2388728744939272,high
hemnet.se,45.08185874260558,high
hemtrevligt.se,19.59411653359947,high
hitta.se,13.553368165771296,high
hn.se,0.0,low
hockeyallsvenskan.se,2.7026999999999997,high
hockeynews.se,28.000004,medium
hockeysverige.se,8.064516129032258,medium
homeq.se,15.566031132075473,high
idg.se,12.299470588235293,high
innebandymagazinet.se,0.0,medium
isabellalowengrip.se,13.732385915492959,high
jennysmatblogg.nu,8.695652173913043,medium
jnytt.se,10.714285714285714,medium
jogg.se,5.405448648648648,medium
johannatoftby.se,24.000004,medium
jp.se,0.3508771929824561,high
kalkyleramera.se,0.0,high
klart.se,27.413127413127413,high
kokaihop.se,9.34578831775701,high
kristianstadsbladet.se,2.7522816513761468,high
kryddburken.se,0.0,medium
kryssakuten.se,6.607473372781065,high
kurera.se,4.0,medium
kuriren.nu,14.3999848,high
laget.se,14.379097385620913,high
lfc.se,3.4482896551724136,medium
ljudochbild.se,39.8286835117773,high
lt.se,11.010553469079941,high
mabra.com,50.57472222222223,high
madameedith.se,0.0,medium
madeleineilmrud.se,23.333333333333332,medium
manchestereveningnews.co.uk,7.843147712418301,high
mariestadstidningen.se,0.0,low
matplatsen.net,0.0,medium
merinfo.se,24.093638797568115,high
mitti.se,15.546234453781514,high
mobil.se,6.0150626566416046,high
modette.se,0.0,low
molndalsposten.se,0.0,low
moviezine.se,38.1579125,high
na.se,8.134911507936508,high
news55.se,2.572344694533762,high
nkp.se,0.0,low
norrahalland.se,0.0,medium
norran.se,7.096783225806452,high
nsd.se,6.770805208333333,high
nsk.se,2.439023170731707,medium
nvp.se,0.0,low
nwt.se,0.0,medium
nyteknik.se,29.093411813186812,high
omni.se,7.544648733671021,high
omniekonomi.se,50.0,low
op.se,14.285714285714286,low
partilletidning.se,0.0,low
poddtoppen.se,34.285734285714284,medium
privataaffarer.se,8.113970691994572,high
ratsit.se,11.52109623493976,high
recept.se,24.999987500000003,medium
receptfavoriter.se,6.15387076923077,medium
saffletidningen.se,0.0,low
skaraborgslanstidning.se,6.511619534883721,high
skd.se,14.285714285714286,low
skovdenyheter.se,0.0,low
smp.se,22.680403092783504,medium
sttidningen.se,0.0,low
styleroom.se,30.769246153846158,low
svd.se,10.9587545960836,high
svenskafans.com,9.890105494505494,medium
svenskalag.se,16.666658333333334,medium
svenskanamn.se,0.0,low
svenskdam.se,50.37593834586466,high
svenskorientering.se,0.0,low
swedroid.se,7.766968932038835,high
sydostran.se,11.11111111111111,low
sydsvenskan.se,4.592620347444089,high
theguardian.com,7.335903088803089,high
tradera.com,10.823549626492667,high
trelleborgsallehanda.se,0.0,low
tv.nu,34.19590979667283,high
tv2.dk,0.0,low
unt.se,3.636375272727273,high
upplysning.se,23.48486060606061,high
ut.se,4.615384615384615,medium
vackertvader.se,8.754184511784512,high
varldenshaftigaste.se,0.0,medium
vf.se,5.0,low
vibilagare.se,8.467729435483871,high
vikhockey.se,0.0,low
vk.se,6.315785263157895,medium
vlt.se,14.645320423340962,high
wellness.se,15.277776388888888,medium
ystadsallehanda.se,7.692300000000001,medium
