seller_name,publisher_name,hostname,placement_id,size,ratio,average_fixation_duration,average_fixation_duration_filtered,eyetracker_on
BONNIER NEWS AB,BMB Allt om mat,alltomtradgard.expressen.se,20148892,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BMB Allt om mat,alltomtradgard.expressen.se,20148892,980x240,0.0,0.0,0.0,True
BONNIER NEWS AB,BMB Allt om mat,expressen.se,20148892,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BMB Allt om mat,expressen.se,20148892,980x240,36.36,44.73,246.0,True
BONNIER NEWS AB,BMB Allt om mat,expressen.se,20148892,980x360,42.86,164.24,1149.67,True
BONNIER NEWS AB,BMB Amelia,expressen.se,20148868,1180x240,0.0,0.0,0.0,True
BONNIER NEWS AB,BMB Amelia,expressen.se,20148868,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BMB Amelia,expressen.se,20148868,980x240,45.0,175.42,701.67,True
BONNIER NEWS AB,BMB Amelia,expressen.se,20148868,980x360,41.79,335.48,1248.72,True
BONNIER NEWS AB,BMB Damernas värld,expressen.se,20148878,980x240,40.910000000000004,4.14,30.33,True
BONNIER NEWS AB,BMB Damernas värld,expressen.se,20148878,980x360,33.33,55.92,111.83,True
BONNIER NEWS AB,BMB Mama,expressen.se,20148873,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BMB Mama,expressen.se,20148873,980x120,0.0,0.0,0.0,True
BONNIER NEWS AB,BMB Mama,expressen.se,20148873,980x240,29.03,31.32,194.2,True
BONNIER NEWS AB,BMB Mama,expressen.se,20148873,980x360,16.669999999999998,172.83,518.5,True
BONNIER NEWS AB,BMB Tailsweep,56kilo.se,20148888,980x240,0.0,0.0,0.0,True
BONNIER NEWS AB,BMB Tailsweep,isabellalowengrip.se,20148888,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BMB Tailsweep,monasuniversum.se,20148888,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BMB Teknikens värld,teknikensvarld.expressen.se,20616291,468x480,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens industri,di.se,20148739,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens industri,di.se,20148739,980x240,25.240000000000002,132.37,999.04,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148696,1180x240,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148696,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148696,728x90,100.0,1283.0,1283.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148696,980x240,38.07,143.88,1125.15,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148696,980x360,21.57,99.16,1011.4,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148697,160x600,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148697,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148697,250x480,7.82,89.41,2319.44,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148697,300x250,4.67,14.04,781.9,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148697,468x240,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148697,468x480,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148697,500x555,20.0,0.0,0.0,False
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148697,980x360,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148698,160x600,5.4,46.62,791.35,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148698,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148698,250x120,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148698,250x360,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148698,250x480,12.5,0.0,0.0,False
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148698,500x555,55.559999999999995,0.0,0.0,False
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148698,980x360,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148699,468x240,28.33,22.68,340.25,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148699,468x480,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148699,500x555,33.33,392.33,1177.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148699,590x100,20.0,42.05,841.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148700,250x280,100.0,454.33,454.33,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148700,250x480,100.0,766.0,766.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148700,300x250,60.0,547.6,855.62,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148700,468x240,100.0,161.0,161.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148700,468x480,100.0,378.0,378.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148701,980x240,45.9,364.16,1169.16,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148701,980x360,66.67,186.0,558.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148703,160x600,8.110000000000001,106.71,1480.62,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148703,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148703,980x360,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148707,980x240,39.129999999999995,389.22,3580.8,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148707,980x360,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148709,160x600,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148709,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148709,500x555,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148733,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148733,980x240,26.919999999999998,328.87,3420.2,True
BONNIER NEWS AB,BNS Dagens nyheter,dn.se,20148733,980x360,66.67,0.0,0.0,False
BONNIER NEWS AB,BNS Expressen,expressen.se,20148635,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Expressen,expressen.se,20148635,980x240,26.150000000000002,90.82,648.75,True
BONNIER NEWS AB,BNS Expressen,expressen.se,20148635,980x360,18.6,189.11,1327.65,True
BONNIER NEWS AB,BNS Expressen,expressen.se,20148636,160x600,5.76,114.22,2149.21,True
BONNIER NEWS AB,BNS Expressen,expressen.se,20148636,180x150,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Expressen,expressen.se,20148636,250x120,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Expressen,expressen.se,20148636,250x480,0.0,0.0,0.0,True
BONNIER NEWS AB,BNS Expressen,expressen.se,20148636,300x250,3.74,18.12,565.14,True
BONNIER NEWS AB,BNS Expressen,expressen.se,20148636,500x555,52.94,0.0,0.0,False
BONNIER NEWS AB,BNS Expressen,expressen.se,20148636,980x360,50.0,0.0,0.0,False
BONNIER NEWS AB,BNS Expressen,expressen.se,20148637,125x230,0.0,0.0,0.0,True
