hostname,fixation_ratio,fixation_impression_ratio,sample_size
affarsvarlden.se,23.82555,7.45341004140787,high
aftonbladet.se,38.8604666666667,14.2729849008066,high
aikhockey.se,33.3333333333333,7.14285,low
aktivtraning.se,16.02022,6.08110202702703,high
alingsastidning.se,0,0,medium
allabolag.se,63.4963333333333,14.4047007003139,high
allas.se,103.699716666667,37.9972604938272,high
allatvkanaler.se,0,0,medium
allehanda.se,47.4808,8.60655942622951,high
allergimat.com,0,0,low
alltforforaldrar.se,77.7669666666667,23.2490141536965,high
anandtech.com,66.6666666666667,40,low
androidcentral.com,25,4.76190476190476,medium
appletoolbox.com,16.6666666666667,1.02040816326531,medium
arbetarbladet.se,28.4127,12.8342197860963,high
arstechnica.com,0,0,medium
autocar.co.uk,0,0,low
autopower.se,32.5396833333333,11.9047571428571,medium
autouncle.se,26.35528,15.10416875,high
avanza.se,60.0175833333333,10.8176844083291,high
baby.dk,0,0,low
babyhjalp.se,26.66666,16.4556835443038,medium
bandypuls.se,0,0,medium
barnakuten.nu,0,0,medium
barometern.se,21.05264,5.624995,high
bensinpriser.nu,19.92516,1.75438546365915,high
bikeperfect.com,0,0,medium
bild.de,0,0,medium
biluppgifter.se,57.711575,23.4432326007326,high
blocket.se,20.9263666666667,4.31762407376095,high
blogg.se,6.25,2.7027027027027,medium
bloomberg.com,31.00222,9.7637557480315,high
blt.se,42.46072,25.0870979094077,high
bohuslaningen.se,20.41666,7.27274,medium
bokat.se,20.89286,2.18576612021858,high
bokforingstips.se,76.0410833333333,40.3755953051643,high
boneo.se,36.6946833333333,21.7054364341085,high
breakit.se,38.71578,9.72222361111111,high
brollopstorget.se,42.85715,11.5942202898551,high
bt.se,35.1969166666667,8.3641417766051,high
budgetyourtrip.com,0,0,low
buffert.se,0,0,low
businessinsider.com,77.33334,7.33947339449541,high
byggahus.se,41.2491333333333,17.3529932846496,high
bytbil.com,25.0785,24.9853687536571,high
cafe.se,32.26495,14.5985452554745,high
carbuzz.com,0,0,medium
cgmagonline.com,0,0,low
cheapflights.com,0,0,low
chipsochchokladbloggen.se,0,0,low
cinemablend.com,0,0,low
cnbc.com,15.625,6.06064242424242,medium
computerbase.de,0,0,medium
corren.se,29.0415333333333,10.0000114141414,high
cuponline.se,0,0,low
dagensjuridik.se,inf,8.97435854700855,high
dagensopinion.se,50,10.3896103896104,medium
dagensps.se,44.6331333333333,8.940830261348,high
dagligvarunytt.se,33.3333333333333,25,low
dalademokraten.se,67.21912,16.5116111627907,high
devote.se,28.5714333333333,12.7659638297872,medium
dezeen.com,41.6666666666667,15.7894736842105,low
di.se,38.4322666666667,7.20109150250381,high
dict.cc,0,0,medium
difhockey.se,66.666675,29.16665,medium
digitalfotoforalla.se,0,0,low
dinareklamblad.se,33.3333333333333,0.89548895522388,high
dir.bg,17.14286,4.16667361111111,high
disboard.org,0,0,medium
djurbibeln.se,46.428575,20.9302558139535,medium
dn.no,25,14.2857142857143,low
dn.se,50.18675,10.3719799186635,high
doodle.com,9.24638333333333,4.98880059568131,high
ebay.co.uk,29.84246,9.56237293354943,high
ebay.com,30.70216,6.24904146560767,high
ebay.de,0,0,medium
economist.com,21.428575,20.6896344827586,medium
ehandel.se,48.534275,27.9329525139665,high
ekuriren.se,0,0,low
elevspel.se,37.5,14.0127239915074,high
eliteprospects.com,22.5939833333333,4.96760431965443,high
elitserien.se,0,0,low
elle.se,163.822683333333,28.0033342170671,high
eniro.se,22.4655666666667,14.3174982195846,high
eposten.se,0,0,low
esquire.com,0,0,low
europeantour.com,0,0,low
expertreviews.co.uk,33.3333333333333,1.47058235294118,medium
express.co.uk,36.04305,5.272756,high
expressen.se,46.0869833333333,5.39582970805893,high
falkopingstidning.se,23.1273333333333,4.8007160326087,high
familjeliv.se,30.32008,10.703123359375,high
fandom.com,10,5.55555555555556,low
feber.se,50.8414,23.0875964409522,high
femina.se,43.94338,26.6094536480687,high
femmeactuelle.fr,0,0,low
filipstadstidning.se,0,0,medium
filmtopp.se,77.45454,17.5355393364929,high
flightconnections.com,0,0,low
fokus.se,16.6666666666667,9.09090909090909,low
folkbladet.nu,0,0,medium
folkbladet.se,33.3333333333333,11.1111111111111,low
foretagande.se,36.36112,10.9452691542289,high
formula1.com,53.60032,39.4285685714286,high
fotbollskanalen.se,37.1217333333333,5.20743645203111,high
fotbollsthlm.se,0,0,low
fotbolltransfers.com,28.1727833333333,9.56521826086957,high
fotosidan.se,0,0,medium
fragbite.se,55.37036,21.3836522012579,high
freeride.se,inf,5.11945784982935,high
futhead.com,0,0,low
gaffa.se,0,0,low
gamefromscratch.com,0,0,low
gamepretty.com,2.6064,2.30770461538462,high
gamesradar.com,7.90735,2.4691524691358,high
gbgfotboll.se,19.166675,7.6923358974359,medium
gd.se,30.45455,10.5769269230769,high
geoguessr.com,0.86995,0.871833042720139,high
getdroidtips.com,0,0,high
getyarn.io,0,0,low
goal.com,25,6.89654482758621,medium
goalcast.com,0,0,low
google.com,67.36132,20.4560730694744,high
goonhammer.com,0,0,low
gp.se,48.9654,14.2162107867276,high
gq.com,12.8205,17.2414,medium
gravid.se,0,0,low
guitarworld.com,0,0,low
gulesider.no,5.1282,3.61991040723982,high
hallandsposten.se,13.8888833333333,2.73972465753425,medium
handbollskanalen.se,0,0,low
hant.se,131.029266666667,29.3300953530477,high
