hostname,fixation_ratio,fixation_impression_ratio,sample_size
affarsvarlden.se,27.1633166666667,5.05745747126437,high
aftonbladet.se,40.0070833333333,14.8901904124264,high
aikhockey.se,33.3333333333333,7.14285,low
allabolag.se,62.3463833333333,13.1722591329069,high
allas.se,150.88572,48.9795760204082,high
allehanda.se,0,0,medium
allergimat.com,0,0,low
alltforforaldrar.se,100.00746,22.7106417582418,high
arbetarbladet.se,50,12.1212121212121,medium
autopower.se,0,0,low
autouncle.se,36.8143,21.9047447619048,high
avanza.se,26.46765,15.6521646376812,high
babyhjalp.se,33.333325,27.6595744680851,medium
barometern.se,23.33334,6.52175652173913,medium
biluppgifter.se,48.787875,39.0624890625,high
blocket.se,21.6241833333333,4.91575333508117,high
blogg.se,0,0,low
blt.se,57.21886,40.196068627451,high
bohuslaningen.se,12.5,7.69230769230769,low
bokat.se,22.3077,4.34781014492754,high
bokforingstips.se,67.1387166666667,46.7889688073394,high
boneo.se,32.53205,14.1025743589744,medium
breakit.se,41.15384,8.26446859504132,high
brollopstorget.se,22.2222333333333,2.77777777777778,medium
bt.se,47.7696666666667,7.23292713085234,high
businessinsider.com,68.2539666666667,11.9047285714286,medium
bytbil.com,20.922,29.2804181141439,high
corren.se,31.7691333333333,9.45946378378378,high
dagensps.se,35.74676,5.72686343612335,high
dalademokraten.se,44,9.63856084337349,high
di.se,37.34615,7.17620076427461,high
dinareklamblad.se,inf,6.52177173913043,medium
djurbibeln.se,33.3333333333333,12.9032322580645,medium
dn.se,55.5978,11.2883188663257,high
ehandel.se,74.8485,33.7209581395349,medium
elevspel.se,18.1818,8.63311654676259,high
eliteprospects.com,8,3.50877192982456,medium
elle.se,154.40115,34.1808087570622,high
eniro.se,30.77514,19.7064859538784,high
express.co.uk,26.83178,8.88889055555556,high
expressen.se,48.198,6.09220159742314,high
falkopingstidning.se,47.7777833333333,8.04593601532567,high
familjeliv.se,50.16305,14.0151420454545,high
femina.se,68.181825,22.7272659090909,medium
filipstadstidning.se,0,0,medium
filmtopp.se,50,7.28155922330097,high
fokus.se,0,0,low
folkbladet.nu,0,0,medium
folkbladet.se,33.3333333333333,20,low
foretagande.se,37,12.0689655172414,medium
fotbollskanalen.se,38.8165333333333,11.4695311827957,high
freeride.se,25,7.40741111111111,medium
gbgfotboll.se,25,12.5,low
gd.se,66.6666666666667,31.5789473684211,low
gp.se,50.73635,15.379222261236,high
gravid.se,0,0,low
hallandsposten.se,13.8888833333333,3.84615192307692,medium
hant.se,119.8275,34.6385530120482,high
hd.se,49.0256833333333,3.97794387554155,high
helagotland.se,23.3974333333333,3.23887287449393,high
hemnet.se,69.9626666666667,45.0818587426056,high
hemtrevligt.se,64.78385,19.5941165335995,high
hitta.se,39.06065,13.5533681657713,high
hn.se,0,0,low
hockeyallsvenskan.se,26.66666,2.7027,high
hockeynews.se,60,28.000004,medium
hockeysverige.se,17.25,8.06451612903226,medium
homeq.se,50.0598,15.5660311320755,high
idg.se,32.85764,12.2994705882353,high
innebandymagazinet.se,0,0,medium
isabellalowengrip.se,62.63888,13.732385915493,high
jennysmatblogg.nu,20,8.69565217391304,medium
jnytt.se,27.14286,10.7142857142857,medium
jogg.se,2.7778,5.40544864864865,medium
johannatoftby.se,25,24.000004,medium
jp.se,33.3333333333333,0.350877192982456,high
kalkyleramera.se,0,0,high
klart.se,50.53452,27.4131274131274,high
kokaihop.se,58.0102,9.34578831775701,high
kristianstadsbladet.se,22,2.75228165137615,high
kryddburken.se,0,0,medium
kryssakuten.se,62.4046,6.60747337278107,high
kurera.se,33.3333333333333,4,medium
kuriren.nu,40.9722166666667,14.3999848,high
laget.se,40.350875,14.3790973856209,high
lfc.se,7.291675,3.44828965517241,medium
ljudochbild.se,84.2931333333333,39.8286835117773,high
lt.se,38.42988,11.0105534690799,high
mabra.com,316.53914,50.5747222222222,high
madameedith.se,0,0,medium
madeleineilmrud.se,50,23.3333333333333,medium
manchestereveningnews.co.uk,33.9151,7.8431477124183,high
mariestadstidningen.se,0,0,low
matplatsen.net,0,0,medium
merinfo.se,93.4141,24.0936387975681,high
mitti.se,57.58585,15.5462344537815,high
mobil.se,44.751,6.0150626566416,high
modette.se,0,0,low
molndalsposten.se,0,0,low
moviezine.se,inf,38.1579125,high
na.se,116.8421,8.13491150793651,high
news55.se,13.333325,2.57234469453376,high
nkp.se,0,0,low
norrahalland.se,0,0,medium
norran.se,29.36364,7.09678322580645,high
nsd.se,49.55065,6.77080520833333,high
nsk.se,23.33334,2.43902317073171,medium
nvp.se,0,0,low
nwt.se,0,0,medium
nyteknik.se,76.0527666666667,29.0934118131868,high
omni.se,15.61914,7.54464873367102,high
omniekonomi.se,50,50,low
op.se,33.3333333333333,14.2857142857143,low
partilletidning.se,0,0,low
poddtoppen.se,25,34.2857342857143,medium
privataaffarer.se,47.0753,8.11397069199457,high
ratsit.se,inf,11.5210962349398,high
recept.se,41.6666666666667,24.9999875,medium
receptfavoriter.se,27.08335,6.15387076923077,medium
saffletidningen.se,0,0,low
skaraborgslanstidning.se,49.69698,6.51161953488372,high
